Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
One carpet,Carpet,"Mr.  Sartaj  Aziz,  SAPM,",,10/21/2014,30000,4000,Amount,Amount
One carpet,Carpet,"Mr.  Muhammad  Ishaq
Dar, Finance Minister",,11/14/2014,35000,5000,Yes,Yes
"One  Carpet  (Jay
namaz)",Carpet,"Mr.  Moin-ul-Haque,
Chief of Protocol",Military,11/24/2014,7500,0,Yes,Yes
"One  Decoration  Piece
(for placing table)",Decoration Pieces,"Mr.  Mufti  Afzal,  Deputy
Chief  of  Protocol,
Foreign Affairs",Military,11/24/2014,4500,0,Yes,Yes
"One  Carpet  (size
6’x5’) approx",Carpet,"Lt.  Gen.  (R)  Abdul  Qadir
Baloch  Minister  of
SAFRON",Military,11/25/2014,35000,5000,Yes,Yes
"One  Carpet  (5’x7’)
approx",Carpet,"Mr.  Sartaj  Aziz,  Advisor
to  PM  on  National
Security",,11/28/2014,35000,5000,Yes,Yes
One Carpet (6’x9’),Carpet,"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minister  of
Pakistan  ",PMLN,11/28/2014,40000,0,"Displayed at PM
house","Displayed at PM
house"
"One  Wrist  Watch
(Longines) 
(No.38602789)",Watch,"Mr.  M.  Akram,
Caretaker, Punjab House",PMLN,12/1/2014,30000,4000,Yes,Yes
One Decoration Piece,Decoration Pieces,"Mr.  Sohail  Mehmood,
Additional  Secretary
(West  Asia),  Foreign
Affairs",PMLN,12/1/2014,5000,0,Yes,Yes
"(a)Pair of Lump Stand
(b)Two Books",,"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minister  of
Pakistan  ",PMLN,12/1/2014,8000,0,"(a) Pair of Lump
Stand display at
Army Museum
(b) Two Books
transferred to
National Library of
Pakistan","(a) Pair of Lump
Stand display at
Army Museum
(b) Two Books
transferred to
National Library of
Pakistan"
"One  Scenery  (Duly
Framed)",,"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minister  of
Pakistan  ",PMLN,12/1/2014,3000,0,No,No
One Saree,,"Begum Prime Minister of
Pakistan,  wife  of Mr.
Muhammad  Nawaz
Sharif",PMLN,12/1/2014,5500,0,No,No
"One Book
One wall hanging",,"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minister  of
Pakistan",PMLN,12/1/2014,2000,0,"(a) One Book
transferred to
National Library of
Pakistan
(b) One wall
hanging deposited
in Toshakhana","(a) One Book
transferred to
National Library of
Pakistan
(b) One wall
hanging deposited
in Toshakhana"
One Tea Set (09 Pcs),Crockery,"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minister  of
Pakistan  ",PMLN,12/1/2014,13500,0,Auctioned,"Auctioned for
Rs.18,700/-"
"One  Decoration  Piece
(Picture)",Decoration Pieces,"Mr.  Irfan  Siddiqui,  SAPM
on  National  Affairs/
Federal Minister ",,12/2/2014,5000,0,Yes,Yes
"One  Carpet  (5’x7’)
approx",Carpet,"Mr.  Ishaq  Dar,  Finance
Minister ",PMLN,12/2/2014,35000,5000,Yes,Yes
"One  Decoration  Piece
(Iran Nepali Lion)",Decoration Pieces,"Mr.  Sartaj  Aziz,  Advisor
to PM",,12/8/2014,8500,0,Yes,Yes
One Ball Pen QBOS,,"News  Producer,  PTV
News  Headquarter,
Lahore",Media,12/9/2014,1700,0,Yes,Yes
One Sword,,"Mian  Muhammad
Shehbaz  Sharif,  Chief
Minister of Punjab",PMLN,12/23/2014,25000,3000,Yes,Yes
"(a)  Large  Gold
Necklace  (21kt)
approx.
(b)  One  Gold  (21Kt)
and  Pearl  Bracelet
(approx).",,"Begum Prime Minister of  Pakistan,  Wife  of Mr.  Muhammad Nawaz Sharif",PMLN,1/9/2015,618980,121796,Yes,Yes
"(a)Rolex  Wrist  Watch
(ladies)  (Sr.
No.19X64534)
(Model:178240)
(b)Gold  Bracelet
(21Kt gold) approx.",Watch,"Ms.  Rahila  Isa,
Secretary  to  Begum
Prime Minister",Bureaucracy,1/9/2015,561140,110228,Yes,Yes
"(a)One  Wrist  Watch
(PIAGET
No.1124198-P10771)
(b)One  Box
containing  two
bottles  of  perfume
and  one  box  of
Bakhoor  (i.e.  1kg
oud wood approx.)",Watch,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,1/12/2015,1210000,240000,Yes,Yes
"(a)One  Necklace
(gold)
(b)One  Necklace
(Pearl)",,"Begum Prime Minister
of  Pakistan,  Wife  of
Mr.  Muhammad
Nawaz Sharif",PMLN,1/12/2015,155320,29064,Yes,Yes
"(a)One  Model  of
Boat.",,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,1/12/2015,66000,0,"Gifts displayed
at PM House","Gifts displayed
at PM House"
"One  Wrist  Watch
(Rolex)  (No.116234)
(Diamond Dial)",Watch,"Mr.  Fawad  Hasan
Fawad, AS, PM Office",,1/12/2015,850000,168000,Yes,Yes
"One  Wrist  Watch
(Rolex)  (No.2HZ)
(116234)",Watch,"Brig.  Akmal  Aziz,  MS
to the Prime Minister",Military,1/13/2015,850000,168000,Yes,Yes
"One  Wrist  Watch
(Rolex)  (No.  200)
(116234)",Watch,"Mr.  Nabeel  Awan,
PSO  to  the  Prime
Minister",,1/13/2015,850000,168000,Yes,Yes
"One  Wrist  Watch
(Rolex)(No.X8R)",Watch,"Sqd.  Ldr. Mohyuding
Chisti,  ADC  to  the
Prime Minister",Military,1/13/2015,590000,116000,Yes,Yes
"One  Wrist  watch
(Concord)
(No.1407121)",Watch,"Mr. M. Hanif, Protocol
Officer, PM Office",,1/13/2015,110000,20000,Yes,Yes
"One  Wrist  Watch
(Rolex) (No.V2Q)",Watch,"Mr.  Raja  M.  Shahzad,
UDC PM Office",,1/13/2015,590000,116000,Yes,Yes
"One  Wrist  watch
(Concord) (1407094)",Watch,"Mr.  Abid  Ullah  Jan,
Valet, PM Office",,1/13/2015,110000,20000,Yes,Yes
"One  Wrist  Watch
(Longines)
(41136277)",Watch,"Ms.  Nasreen,  Maid,
PM Office",,1/13/2015,120000,22000,Yes,Yes
One Ceramic Bowl,,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,1/13/2015,8000,0,Yes,Yes
"(a)One Book.
(b)Card  Holder
(Golden)",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,1/13/2015,0,0,Yes,Yes
One Picture,,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,1/13/2015,4000,0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Zeeshan  Raza,",,1/14/2015,590000,116000,Amount,Amount
"One  Wrist  watch
(Concord)
(No.1407093)",Watch,"Maj.  M.  Imran,
Security Officer to the
Prime  Minister,  PM
Office",Military,1/14/2015,110000,20000,Yes,Yes
"One  wrist  watch
(Rolex) (No.116000)",Watch,"Mr.  Danyal  Saleem
Gilani,  DS  (media)  to
the Prime Minister",Media,1/20/2015,590000,116000,Yes,Yes
"One  wrist  watch
(Movado)
(No.2600110)",Watch,"Mr.  M.  Hanif  Khan,
Photographer PID",Media,1/20/2015,70000,12000,Yes,Yes
"One  Wrist  Watch
(Hublot)  (Sr.  No.
925890)",Watch,"Mr.  Moin-ul-Haque,
Chief of Protocol,  M/o
Foreign Affairs",Military,1/21/2015,220000,42000,Yes,Yes
"One  Wrist  Watch
(Movado)
(No.2600110)",Watch,"Mr.  Abdul  Shakoor,
ASI,  Gunman  to  the
Prime Minister",Police,1/21/2015,70000,12000,Yes,Yes
"One  Wrist  Watch
(Movado)
(No.2600110)",Watch,"Mr.  M.  Shaban,
Gunman  to  the  Prime
Minister",Police,1/21/2015,70000,12000,Yes,Yes
"One  Wrist  Watch
(Movado)
(No.2600110",Watch,"Mr.  Imran  Hussain,
Cameramen PTV",Media,1/22/2015,70000,12000,Yes,Yes
"One  Wrist  Watch
(Movado)
(No.2600110",Watch,"Mr.  Abdul  Ghaffar,
Engineer PTV",Media,1/22/2015,70000,12000,Yes,Yes
"One  Wrist  Watch
(Rolex)  (No.
GO27774)",Watch,"Syed Tariq  Fatemi,
SAPM  on  Foreign
Affairs",,1/26/2015,990000,196000,Yes,Yes
"(a)  Apple  I  Pad
(Large) (16 GB).
(b)  Apple  I  Pad  (16
GB)  (Mini)  (Silver
color).",,"Mr.  Tahir  Rafiq  Butt,
Air Chief Marshal, PAF",,2/10/2015,81000,14200,Yes,Yes
(a)Nikon  Digital,,"Mr.  Tahir  Rafiq  Butt,",,2/10/2015,36000,13200,Amount,Amount
"(a)  Canon  Camera
(Model  GIX)  PC-
1674.  (without
charger)
(b)  Gents  W/Watch
(Salvatore
Ferragamo)  (without
box and card)",Watch,"Mr.  Tahir  Rafiq  Butt,
Air Chief Marshal, PAF",Military,2/10/2015,95000,17000,Yes,Yes
"One  Lamp  (Glass
made)",,"Mr.  Moin-ul-Haque,
Chief of Protocol,  M/o
Foreign Affairs",Military,2/18/2015,8500,0,Yes,Yes
"One Carpet (size3’x5’ 
approx.  maroon
base)",Carpet,"Mr. Sartaj Aziz, SAPM",,3/12/2015,10000,0,Yes,Yes
"Digital  Camera  Sony
NEX-5TL",,"Mr.  Tahir  Rafiq  Butt,
Air Chief Marshal, PAF",,3/16/2015,35000,5000,Yes,Yes
"One  wrist  watch
(Breitling)  automatic
Chronograph
No.AB012721/BD09
3163035 (Steel)",Watch,"Mr.  Tahir  Rafiq  Butt,
Air Chief Marshal, PAF",,3/16/2015,775000,153000,"Gift deposited
in TK","Gift deposited
in TK"
One Bowl (Nakkas),,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,3/17/2015,30000,4000,Yes,Yes
One Table Clock,,Mr.  Muhammad,,3/30/2015,70000,0,Displayed at PM,Displayed at PM
"One Necklace, Pearl",,"Begum  Prime
Minister,  Wife  of Mr.
Muhammad  Nawaz
Sharif",PMLN,3/30/2015,145000,27000,Yes,Yes
"One  Wrist  Watch
Officine  Radiomir
Panerai PAM00472",Watch,"Mr. Moin Ul Haq,
Chief of Protocol",Military,3/31/2015,582000,114400,Yes,Yes
"One  Wrist  Watch
(ladies)(Chanel J12)",Watch,"Spouse of Mr. Moin Ul
Haq, Chief of Protocol",Military,3/31/2015,87000,15400,Yes,Yes
"One  Wrist  Watch
Prestige  (Swiss
Quartz  Model  No.
P3010M)",Watch,"Mr.  Hussain
Muhammad,
Deputy  Chief  of
Protocol, MoFA",Military,4/2/2015,6000,0,Yes,Yes
"One  Wrist  Watch
Rolex  Datejust
(No.116244)",Watch,"Wife  of  Mr.  Shahid
Khaqan  Abbasi,
Minister  of  Petroleum
& Natural Resources",PMLN,4/6/2015,850000,168000,Yes,Yes
"One  Wrist  Watch
Radiomar  Panerai
No.PA010326",Watch,"Mr.  Shahid  Khaqan
Abbasi,  Minister  of
Petroleum  &  Natural
Resources",PMLN,4/6/2015,582000,114400,Yes,Yes
"One  Wrist  Watch
(Gents)  Cartier
(No.KITSTS02)",Watch,"Mr.  Aizaz  Ahmed
Chaudhry,  Foreign
Secretary",Bureaucracy,4/6/2015,465000,91000,Yes,Yes
"One  Wrist  Watch
(ladies)  Rolex
(No.116244)",Watch,"Wife  of  Mr.  Aizaz
Ahmed Chaudhry,
Foreign Secretary",Bureaucracy,4/6/2015,850000,168000,Yes,Yes
"Two  Cushion
(Railway),  one  key
chain/medal  and
three books",,"Raja  Hassan  Abbas,
Cabinet Secretary",Bureaucracy,4/20/2015,2000,0,"Transferred to
Railway
Division","Transferred to
Railway
Division"
One Bed Sheet,,"Raja  Hassan  Abbas,",,4/20/2015,2000,0,No,No
"Small  tea  set  (Two
Tea  Cups  with
saucers  and  small
Tea Pot)",Crockery,"Mr. Aizaz  Ahmed
Chaudhry,  Foreign
Secretary",Bureaucracy,4/24/2015,3000,0,Yes,Yes
"(a)  Two  Decoration
pieces  (Marble
ceramic)
(b) One small tea set
(having  two  tea  cups
and  one  small  tea
pot)",Crockery,"Syed  Tariq  Fatemi,
SAPM",,5/4/2015,20000,2000,Auctioned,"(a) Auctioned
for Rs.9,500/-
(b) Deposited
in Toshakhana"
"One  small  plate
(silver)",,"Mr.  Moin  Ul  Haq,
Chief of Protocol",Military,5/4/2015,5000,0,Gift retained,Gift retained
One Frame Box,,"Mr. Moin Ul Haq,
Chief of Protocol",Military,5/14/2015,0,0,Yes,Yes
"One  wooden
decoration",Decoration Pieces,"Mr. Moin Ul Haq,
Chief of Protocol",Military,5/14/2015,0,0,Yes,Yes
"(a)One (large) carpet
(Silky handmade)
(b)One  carpet
(medium)  (woolen
handmade)
(c)  One  box  (two
bottle  olive  oil,  10
Bottles Olive)",Carpet,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,83000,64600,Yes,Yes
One Carpet (small),Carpet,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,18000,Yes,Yes
"One  Photo
frame/calligraphy",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Gift retained,Gift retained
"(a)Two  Dry  fruit  Box
(Jams,  Jelly,  olives
etc.)",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,5000,0,Yes,Yes
One Carpet (small),Carpet,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
"(a)One  Carpet
(small)
(b)Two books",Carpet,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
One Book,,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
One The Holy Quran,,"Mr.  Mamnoon
Hussain, President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
"One  Box  (6  Dec
Glass)",,"First  Lady  of
Pakistan,  wife  of  Mr.
Mamnoon Hussain",PMLN,5/15/2015,6000,0,Yes,Yes
"One  Shawl  /  Table
Cloth",,"First  Lady  of
Pakistan,  wife  of  Mr.
Mamnoon Hussain",PMLN,5/15/2015,0,0,Yes,Yes
One (Box) Dagger,,"Son  of  President  of
Pakistan,  Mr.
Mamnoon Hussain",PMLN,5/15/2015,0,0,Yes,Yes
"One  (Box)  Jewelry
Set",,"Daughter President of
Pakistan,  Mr.
Mamnoon Hussain",PMLN,5/15/2015,3500,0,Yes,Yes
"One  Box  (Silver  Dec.
piece)",,"Daughter President of
Pakistan,  Mr.
Mamnoon Hussain",PMLN,5/15/2015,25500,3100,Yes,Yes
"One Model (Golden &
Silver)",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
"(a)  One  Necklace
(Gold+ Diamond)
(b)  Pair  of  ear  ring
(Gold + Diamond)
(c)  One  ring  (Gold  +",,"First  lady of Pakistan,
wife  of  Mr.  Mamnoon
Hussain",PMLN,5/15/2015,0,0,Yes,Yes
"(a)One  Wrist  Watch
(Victorinox 241650)
(b)One  Wrist  Watch
(G.C  241652)
(Swiss)
(c)One  Mobile  Phone
Galaxy S6",Watch,"Lt.  Cdr.  Fahad,  ADC
(P)",Military,5/15/2015,0,0,Yes,Yes
"(a)One  Wrist  Watch
(Victorinox 241650)
(b)One  Wrist  Watch
(G.C  241652)
(Swiss)
(c)One  Mobile  Phone
Galaxy S6",Watch,"Maj. Imran, SO (P)",Military,5/15/2015,0,0,Yes,Yes
"One  Dinner  Set
(Noritake) (34pcs)",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
Natural Topaz (Blue),,"First  Lady  of
Pakistan,  wife  of  Mr.
Mamnoon Hussain",PMLN,5/15/2015,0,0,Yes,Yes
Wooden Art Jar,,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
Framed piece of cloth,,"First  Lady  of
Pakistan,  wife  of  Mr.
Mamnoon Hussain",PMLN,5/15/2015,0,0,Yes,Yes
Wooden Jar,,"Sqn.Ldr.  Saad,  ADC
(P)",Military,5/15/2015,0,0,Yes,Yes
"Two  Ceramic  Set
(Blue  &  Green)
(16pcs)",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,5/15/2015,0,0,Yes,Yes
Glass Jar,,Mr.  Mamnoon,PMLN,5/15/2015,0,0,Yes,Yes
"One  Neck  tie,  one
scarf,  one  box
containing  wallet  &
belt, One Key chain",,"Maj.  Qamar  Abbas,
SO (P)",Military,5/15/2015,0,0,Yes,Yes
"Wallet, belt key chain
case ",,"Maj.  Qamar  Abbas,
SO (P)",Military,5/15/2015,0,0,Yes,Yes
"One  Stone  Bowl
(Blue)",,"Mr.  Sartaj  Aziz,
Advisor  to  PM  on
National  Security  &
Foreign Affairs",,5/15/2015,0,0,Yes,Yes
"One  decoration  piece
(Three pcs)",Decoration Pieces,"Mian Raza  Rabbani,
Chairman Senate",,5/21/2015,0,0,Yes,Yes
"(a)One  Decoration
piece (ceramic horse)
(b)One  decoration
piece (stamp)",Decoration Pieces,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,5/22/2015,10000,0,Yes,Yes
"(a)One Flower vase
(b)2x Audio CDs",Decoration Pieces,"Begum  of  Prime
Minister, Mr.
Muhammad  Nawaz
Sharif",PMLN,5/22/2015,0,1000,Yes,Yes
One Carpet(5*8.5),Carpet,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,5/25/2015,0,6000,Yes,Yes
"Jewelry  Set  (5x  pcs)
(silver)",,"Begum  of  Prime
Minister, Mr.
Muhammad  Nawaz
Sharif,",PMLN,5/25/2015,0,0,Yes,Yes
"Jewelry  Set  (4x  pcs)
(silver)",,"Begum  of  Prime
Minister, Mr.
Muhammad  Nawaz
Sharif,",PMLN,5/25/2015,5512,0,Gift retained,Gift retained
One Necklace (silver),,"Begum  of  Prime
Minister, Mr.
Muhammad  Nawaz",,5/25/2015,0,0,Yes,Yes
"One  Bow  and  Arrow
(Teer Kaman)",,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,6/2/2015,0,0,Auctioned,"Auctioned for
Rs.15,150/-"
"One  Wrist  watch
Rolex  (Yacht  Master)
(having  expired
warranty  card)
(No.16622)",Watch,"Mr. Amjad Hussain B.
Sial,  Special
Secretary,  Foreign
Affairs",Bureaucracy,6/2/2015,0,126000,Yes,Yes
One Painting (small),,"Syed  Tariq  Fatemi,
SAPM  on  Foreign
Affairs",,6/3/2015,0,0,Yes,Yes
One carpet (Small),Carpet,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,6/10/2015,0,0,Yes,Yes
"One  fan  (imperial
style with double side
Embroidery)",,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,6/10/2015,0,0,Yes,Yes
"(a)  One  fan (imperial
style with double side
Embroidery) (small)
(b)  One  Book
“Chinese  Herbal
Legends”
(c)  One  Book  “An
illustrated  guide  to
Chinese Medicine”",,"First  lady of Pakistan,
wife  of  Mr.  Mamnoon
Hussain",PMLN,6/10/2015,0,0,Yes,Yes
One Model of bull,,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,6/10/2015,0,0,Yes,Yes
"(a)One  Wrist  Watch
Cartier  (Gents)
(385692TX 3001)
(b)One  Wrist  Watch
Concord  (Saratoga
1411381)",Watch,"Mr.  A.S.  Babar,
Director  General
(Middle East), Foreign
Affairs",,6/15/2015,0,0,Yes,Yes
"(a)One  Wrist  Watch
Cartier (Gents)
(b)One  Wrist  Watch
Concord (Saratoga)",Watch,"Qazi  Khalilullah,
Additional  Secretary
(Middle  East  &
Africa),  Foreign
Affairs",Bureaucracy,6/19/2015,0,0,Yes,Yes
"One  Wrist  Watch
Cartier  (Balloon  Bleu
De  Cartier)
(384135TX)  (3001)
(Stainless Steel)",Watch,"Mr.  Altamash  Khan,
Director  Gulf,  Foreign
Affairs",,6/22/2015,0,0,Yes,Yes
"(a) One  Wrist  Watch
(Harry  Winston,
L/Strap  Diamond
dial)  (HW01116)
(OCEMTJ45)
(b)One  pen  (Harry
Winston  with
Diamond)
(c)Pair  of  Cufflink
(Gold + Black Stone)
(d)One  Tasbih  (Gold
+ Black Stone)",Watch,"Mr.  Mamnoon
Hussain,  President  of
Pakistan",PMLN,6/26/2015,0,447682,Yes,Yes
"(a)One  Necklace
(Gold+ Diamond)
(b)One  Ring  (Gold  +
Diamond)
(c)One  Bracelet
(Gold + Diamond)
(d)Pair  of  Ear  Rings
(Gold + Diamond)",,"First lady, Wife of the
President  of  Pakistan,
Mr.  Mamnoon
Hussain",PMLN,6/26/2015,16604188,5865099,Yes,Yes
"One  decoration  piece
(marble)",Decoration Pieces,"Minister  for
commerce",,7/13/2015,8500,0,Yes,Yes
One Stone box,,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister  on  National",,7/13/2015,8500,0,Yes,Yes
"Sri  Lankan  Tea  04
Packets  of  30  Tea
Bags",Food,"Mr.  Mohammad
Nafees  Zakaria,  DG
South Asia & SSARC",,7/14/2015,0,0,Yes,Yes
"One  wooden  vessel
(boat)",,"Mr.  Sartaj  Aziz,
Advisor  to  PM  on
National  Security  and
Foreign Affairs",,7/16/2015,6000,0,Yes,Yes
"(a)One  box  of
Pineapple
(Perishable)
(b)One  box of
Pineapple
(Perishable)
(c)One  box  of
Pineapple
(Perishable)",,"(a)  Prime  Minister,
Mr.  Muhammad
Nawaz Sharif
(b)  Begum  Prime
Minister,  Wife  of Mr.
Muhammad  Nawaz
Sharif
(c)  Ms.  Maryam
Nawaz",PMLN,7/22/2015,0,0,Yes,Yes
"One  Bracelet
(Carnelian)  &  one
Broach (Carnelian)",,"Mr.  Sartaj  Aziz,
Advisor  to  PM  on
National  Security  and
Foreign Affairs",,7/23/2015,10000,0,Yes,Yes
"One  Pistol  (9mm)
Sr.No.083183",Weapons,"Maj.  Gen.  (R) Mian
Abdul Qayoom",Military,7/23/2015,15000,1000,Yes,Yes
"(a)One  Decoration
Piece.
(b)One  box  of
Pineapple  (Perishable
item).",Decoration Pieces,"(a) Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan
(b)  Begum  Prime
Minister,  wife  of Mr.
Muhammad  Nawaz
Sharif",PMLN,7/30/2015,10000,0,Yes,Yes
Two carpets,Carpet,"Syed Abrar Hussain,",,7/30/2015,40000,9000,Amount,Amount
"One  clay  round
decoration  plate
(light  green)  with
wooden stand",Decoration Pieces,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister",,7/30/2015,3000,0,Yes,Yes
"One  Decoration  Tea
Set (having six round
cups,  one  round
plate,  two  green  tea
pots)",Crockery,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister",,8/10/2015,3000,0,Yes,Yes
One wall hanging,,"Minister  of  State  for
National  Health
Services",,8/10/2015,4000,0,Yes,Yes
One Globe Model,,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,8/18/2015,0,0,Yes,Yes
"One  painting  duly
framed",,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,8/18/2015,10000,0,Yes,Yes
One Flower Vase,Decoration Pieces,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,8/18/2015,8000,0,Yes,Yes
"(a)One  wooden  art
framed
(b)One  Tractor
Model.
(c)One photo frame",,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,8/18/2015,0,0,Yes,Yes
One Gown,,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,8/18/2015,6000,0,Yes,Yes
"One  (Irani)  Flower
Vase    (Blue  Persian
vase with cap)",Decoration Pieces,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister",,8/20/2015,7500,0,Yes,Yes
"One  Carpet  (small)
(Handmade)",Carpet,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister",,8/20/2015,30000,4000,Yes,Yes
"One  hand  crafted
sterling silver (Bowl)",,"Raja Hasan Abbas,
Secretary,  Cabinet
Division",Bureaucracy,8/26/2015,9000,0,Auctioned,"Auctioned for
Rs.13,500/-"
"(a)One Book.
(b)Table  Mate  Three
pieces",,"Syed  Tariq  Fatemi,
SAPM/  Minister  of
State  for  Foreign
Affairs",,8/26/2015,2500,0,Yes,Yes
"One  Wrist  watch
(Rovina)",Watch,"Maj.  Gen.  Ali  Abbas
Haider DG (MT)",Military,8/28/2015,38000,5600,Yes,Yes
"One  Su  Embroidery
water  town  in
Southern  China  (dec.
piece)",,"Former  speaker  of
National  Assembly,
Ms. Fahmida Mirza",,8/31/2015,5000,,Auctioned,"Auctioned for
Rs.2,250/-"
"One Stone  Bowl
(Blue)",,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister",,9/7/2015,10000,0,Yes,Yes
"(a)  One  small  Jar  of
Zafraan.
(b) One small carpet.",Carpet,"Mr.  Sartaj  Aziz,
Advisor  to  the  Prime
Minister",,9/7/2015,38000,5600,Yes,Yes
"One  Dragon  Ball
(Decoration piece)",Decoration Pieces,"Lt.  Gen.  M.  Zahid
Latif  Mirza,  HI  (M)
Commander  AAD
Comd.",Military,9/7/2015,10000,0,Auctioned,"Auctioned for
Rs.20,000/-"
One decoration piece,Decoration Pieces,"Mr. Muhammad Ishaq
Dar, Finance Minister",,9/15/2015,8500,0,Yes,Yes
One Brass Bowl Set,,"Raja  Zafar-ul-Haque,
Leader  of  the  House,
Senate",,10/7/2015,5000,0,Yes,Yes
"(a)Two tea pot
(b)One tea set
(c)One shield
(d)Two w/watches
(e)One Scarf",Watch,"Maj.  Gen.  Ali  Abbas
Haider  HI  (M)  S  Bt
DGMT",Military,10/18/2015,15600,1170,Yes,Yes
One ladies scarf,,"Brig.  M.  Javed  Iqbal,
DMT, CBT",Military,10/18/2015,400,0,Yes,Yes
Six ties,,6 participants officers,,10/18/2015,3000,0,Yes,Yes
"One Samsung Galaxy
Tab-3  Model  SM-
T210RZWYXAR",,"Mr.  Rizwan  Bashir
Khan,  Additional
Secretary  M/o  of
Planning  &
Development",Bureaucracy,10/26/2015,14000,800,Yes,Yes
"One  Tea  Set  +  Ice
Cream Set (39 pcs)",Crockery,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,11/13/2015,8000,0,Yes,Yes
"One  Coal  Samovar
Set",,"Mr.  Muhammad
Nawaz  Sharif,  Prime
Minister of Pakistan",PMLN,11/13/2015,15000,1000,Yes,Yes
"(a)One Jewelry box
(b)One  Set  of  Flaxen
Table Linen",,"Begum  Kalsoom
Muhammad  Nawaz
Sharif,  wife  of Mr.
Muhammad  Nawaz
Sharif",PMLN,11/13/2015,11500,300,Yes,Yes
"One  Painting/
decoration frame",Decoration Pieces,Chairman Senate,,11/16/2015,20000,2000,Yes,Yes
"One  Decoration  Piece
(Marble)",Decoration Pieces,"Speaker  National
Assembly of Pakistan",,11/17/2015,10000,0,Yes,Yes
"One  Decoration  piece
(Marble)",Decoration Pieces,"Speaker  National
Assembly of Pakistan",,11/17/2015,10000,0,Yes,Yes
"One  Decoration  (Bull
Model)",Decoration Pieces,"Speaker  National
Assembly of Pakistan",,11/17/2015,8500,0,Yes,Yes
"One  Digital  Cameral
(Canon  Power  Shot)
(SX610  HS)  (18
Optical  Zoom) (16Gb
Memory Card, CD)",,"Mr.  Muhammad
Najeeb  Ullah,  Section
Officer,  Cabinet
Division",,11/17/2015,20000,2000,Yes,Yes
"One  Flower  Vase
(Marble).",Decoration Pieces,"Syed  Tariq  Fatemi,
SAPM  on  Foreign",,11/17/2015,8000,0,Yes,Yes
